block_num,Ei
4047,22527.19777
4048,12497.48305
4049,31614.64778
4050,39264.77791
4051,341.1092414
4052,23739.53184
4053,337.508059
4054,27634.27082
4055,46.9602918
4056,44.68028492
4057,647.7373571
4058,81.71334424
4059,39280.44066
4060,11518.7366
4061,44.68028492
4062,10078.99671
4063,23623.42827
4064,23739.53184
4065,26490.56446
4066,27658.06627
4067,1062.017032
4068,145.5696417
4069,46.13207633
4070,1062.017032
4071,405.3497751
4072,113.641493
4073,81.71334424
4074,106.5433385
4075,44.68028492
4076,7043.184388
4077,1593.025548
4078,1593.025548
4079,44.68028492
4080,44.68028492
4081,53.27166923
4082,53.27166923
4083,44.68028492
4084,44.68028492
4085,2802.729037
4086,53.27166923
4150,851.3473868
4151,851.3473868
4152,851.3473868
4153,851.3473868
4200,0.174816236
4201,0.124296874
4202,0.174816236
4203,0.124296874
